title,abbr,key,category,parent,parent_key,description,url,jurisdiction,jurisdiction_code,source,source_url,address,contact,email,tags,created_at,updated_at
Trans-European Transport Network Executive Agency,TEN-TEA,eu/ten_tea,,,,,http://ec.europa.eu/tentea,European Union,EU,Ask the EU (AccessInfo),,,,,executive_agency,Wed Sep 28 00:35:33 UTC 2011,Sun Oct 09 03:23:41 UTC 2011
Historical archives,,eu/historical_archives,,,,,http://www.ec.europa.eu,European Union,EU,Ask the EU (AccessInfo),,,,,ec_service,Wed Sep 28 00:35:20 UTC 2011,Sun Oct 09 03:12:53 UTC 2011
Bureau of European Policy Advisers (BEPA),BEPA,eu/bepa,,,,,,European Union,EU,Ask the EU (AccessInfo),,,,,ec_service,Wed Sep 28 00:35:19 UTC 2011,Sun Oct 09 03:12:52 UTC 2011
Central Library,,eu/central_library,,,,,,European Union,EU,Ask the EU (AccessInfo),,,,,ec_service,Wed Sep 28 00:35:19 UTC 2011,Sun Oct 09 03:12:52 UTC 2011
Translation Centre for the Bodies of the European Union,CdT,eu/cdt,,,,,http://www.cdt.europa.eu,European Union,EU,Ask the EU (AccessInfo),,,,,policy_agency,Wed Sep 28 00:35:30 UTC 2011,Sun Oct 09 03:23:39 UTC 2011
European Centre for the Development of Vocational Training,CEDEFOP,eu/cedefop,,,,,http://www.cedefop.europa.eu,European Union,EU,Ask the EU (AccessInfo),,,,,policy_agency,Wed Sep 28 00:35:26 UTC 2011,Sun Oct 09 03:23:08 UTC 2011
European Police College,CEPOL,eu/cepol,,,,,http://www.cepol.europa.eu,European Union,EU,Ask the EU (AccessInfo),,,,,judicial_agency,Wed Sep 28 00:35:31 UTC 2011,Sun Oct 09 03:23:39 UTC 2011
Computer Emergency Response Team (CERT),CERT,eu/cert,,,,,,European Union,EU,Ask the EU (AccessInfo),,,,,other,Wed Sep 28 00:35:35 UTC 2011,Sun Oct 09 03:27:24 UTC 2011
Community Fisheries Control Agency,CFCA,eu/cfca,,,,,http://www.cfca.europa.eu,European Union,EU,Ask the EU (AccessInfo),,,,,policy_agency,Wed Sep 28 00:35:24 UTC 2011,Wed Oct 19 16:01:45 UTC 2011
European Systemic Risk Board (ESRB),ESRB,eu/esrb,,,,,http://www.esrb.europa.eu,European Union,EU,Ask the EU (AccessInfo),,,,,financial_supervisory,Sun Oct 09 03:24:28 UTC 2011,Sun Oct 09 03:24:28 UTC 2011
Council of the EU,,eu/council_of_the_eu,,,,,http://www.consilium.europa.eu,European Union,EU,Ask the EU (AccessInfo),,,,,council_eu,Wed Sep 28 00:35:09 UTC 2011,Sun Oct 09 03:03:23 UTC 2011
Committee of the Regions,CoR,eu/cor,,,,,,European Union,EU,Ask the EU (AccessInfo),,,,,committee_regions,Wed Sep 28 00:35:22 UTC 2011,Sun Oct 09 03:22:23 UTC 2011
Community Plant Variety Office,CPVO,eu/cpvo,,,,,http://www.cpvo.europa.eu,European Union,EU,Ask the EU (AccessInfo),,,,,policy_agency,Wed Sep 28 00:35:24 UTC 2011,Sun Oct 09 03:23:07 UTC 2011
European Ombudsman,,eu/european_ombudsman,,,,,http://www.ombudsman.europa.eu,European Union,EU,Ask the EU (AccessInfo),,,,,european_ombudsman,Wed Sep 28 00:35:23 UTC 2011,Sun Oct 09 03:22:23 UTC 2011
Budget (BUDG),DG BDG,eu/dg_bdg,,,,,http://www.ec.europa.eu,European Union,EU,Ask the EU (AccessInfo),,,,,ec_dg,Wed Sep 28 00:35:10 UTC 2011,Sun Oct 09 03:04:54 UTC 2011
Climate Action (CLIMA),DG CLIMA,eu/dg_clima,,,,,http://www.ec.europa.eu,European Union,EU,Ask the EU (AccessInfo),,,,,ec_dg,Wed Sep 28 00:35:10 UTC 2011,Sun Oct 09 03:04:54 UTC 2011
Communication (COMM),DG COMM,eu/dg_comm,,,,,http://www.ec.europa.eu,European Union,EU,Ask the EU (AccessInfo),,,,,ec_dg,Wed Sep 28 00:35:11 UTC 2011,Sun Oct 09 03:04:55 UTC 2011
Competition (COMP),DG COMP,eu/dg_comp,,,,,http://www.ec.europa.eu,European Union,EU,Ask the EU (AccessInfo),,,,,ec_dg,Wed Sep 28 00:35:11 UTC 2011,Sun Oct 09 03:04:55 UTC 2011
Informatics (DIGIT),DG DIGIT,eu/dg_digit,,,,,http://www.ec.europa.eu,European Union,EU,Ask the EU (AccessInfo),,,,,ec_dg,Wed Sep 28 00:35:15 UTC 2011,Sun Oct 09 03:09:37 UTC 2011
Education and Culture (EAC),DG EAC,eu/dg_eac,,,,,http://www.ec.europa.eu,European Union,EU,Ask the EU (AccessInfo),,,,,ec_dg,Wed Sep 28 00:35:12 UTC 2011,Sun Oct 09 03:04:55 UTC 2011
Economic and Financial Affairs (ECFIN),DG ECFIN,eu/dg_ecfin,,,,,http://www.ec.europa.eu,European Union,EU,Ask the EU (AccessInfo),,,,,ec_dg,Wed Sep 28 00:35:11 UTC 2011,Sun Oct 09 03:04:55 UTC 2011
Foreign Policy Instruments Service (EEAS),DG EEAS,eu/dg_eeas,,,,,http://www.ec.europa.eu,European Union,EU,Ask the EU (AccessInfo),,,,,ec_dg,Wed Sep 28 00:35:14 UTC 2011,Sun Oct 09 03:08:43 UTC 2011
"Employment, Social Affairs and Inclusion (EMPL)",DG EMPL,eu/dg_empl,,,,,http://www.ec.europa.eu,European Union,EU,Ask the EU (AccessInfo),,,,,ec_dg,Wed Sep 28 00:35:12 UTC 2011,Sun Oct 09 03:04:55 UTC 2011
Energy (ENER),DG ENER,eu/dg_ener,,,,,http://www.ec.europa.eu,European Union,EU,Ask the EU (AccessInfo),,,,,ec_dg,Wed Sep 28 00:35:12 UTC 2011,Sun Oct 09 03:08:42 UTC 2011
Enterprise and Industry (ENTR),DG ENTR,eu/dg_entr,,,,,http://www.ec.europa.eu,European Union,EU,Ask the EU (AccessInfo),,,,,ec_dg,Wed Sep 28 00:35:13 UTC 2011,Sun Oct 09 03:08:43 UTC 2011
Environment (ENV),DG ENV,eu/dg_env,,,,,http://www.ec.europa.eu,European Union,EU,Ask the EU (AccessInfo),,,,,ec_dg,Wed Sep 28 00:35:13 UTC 2011,Sun Oct 09 03:08:43 UTC 2011
Eurostat (ESTAT),DG ESTAT,eu/dg_estat,,,,,http://www.ec.europa.eu,European Union,EU,Ask the EU (AccessInfo),,,,,ec_dg,Wed Sep 28 00:35:13 UTC 2011,Sun Oct 09 03:08:43 UTC 2011
Home Affairs (HOME),DG HOME,eu/dg_home,,,,,http://www.ec.europa.eu,European Union,EU,Ask the EU (AccessInfo),,,,,ec_dg,Wed Sep 28 00:35:14 UTC 2011,Sun Oct 09 03:08:44 UTC 2011
Human Resources and Security (HR),DG HR,eu/dg_hr,,,,,http://www.ec.europa.eu,European Union,EU,Ask the EU (AccessInfo),,,,,ec_dg,Wed Sep 28 00:35:15 UTC 2011,Sun Oct 09 03:08:44 UTC 2011
Information Society and Media (INFSO),DG INFSO,eu/dg_infso,,,,,http://www.ec.europa.eu,European Union,EU,Ask the EU (AccessInfo),,,,,ec_dg,Wed Sep 28 00:35:15 UTC 2011,Sun Oct 09 03:09:37 UTC 2011
Joint Research Centre (JRC),DG JRC,eu/dg_jrc,,,,,http://www.ec.europa.eu,European Union,EU,Ask the EU (AccessInfo),,,,,ec_dg,Wed Sep 28 00:35:16 UTC 2011,Sun Oct 09 03:09:38 UTC 2011
Justice (JUST),DG JUST,eu/dg_just,,,,,http://www.ec.europa.eu,European Union,EU,Ask the EU (AccessInfo),,,,,ec_dg,Wed Sep 28 00:35:16 UTC 2011,Sun Oct 09 03:09:38 UTC 2011
Maritime Affairs and Fisheries (MARE),DG MARE,eu/dg_mare,,,,,http://www.ec.europa.eu,European Union,EU,Ask the EU (AccessInfo),,,,,ec_dg,Wed Sep 28 00:35:17 UTC 2011,Sun Oct 09 03:09:38 UTC 2011
Internal Market and Services (MARKT),DG MARKT,eu/dg_markt,,,,,http://www.ec.europa.eu,European Union,EU,Ask the EU (AccessInfo),,,,,ec_dg,Wed Sep 28 00:35:15 UTC 2011,Sun Oct 09 03:09:38 UTC 2011
Mobility and Transport (MOVE),DG MOVE,eu/dg_move,,,,,http://www.ec.europa.eu,European Union,EU,Ask the EU (AccessInfo),,,,,ec_dg,Wed Sep 28 00:35:17 UTC 2011,Sun Oct 09 03:09:39 UTC 2011
Research and Innovation (RTD),DG RTD,eu/dg_rtd,,,,,http://www.ec.europa.eu,European Union,EU,Ask the EU (AccessInfo),,,,,ec_dg,Wed Sep 28 00:35:17 UTC 2011,Sun Oct 09 03:09:39 UTC 2011
Health and Consumers (SANCO),DG SANCO,eu/dg_sanco,,,,,http://www.ec.europa.eu,European Union,EU,Ask the EU (AccessInfo),,,,,ec_dg,Wed Sep 28 00:35:14 UTC 2011,Sun Oct 09 03:08:44 UTC 2011
Interpretation (SCIC),DG SCIC,eu/dg_scic,,,,,http://www.ec.europa.eu,European Union,EU,Ask the EU (AccessInfo),,,,,ec_dg,Wed Sep 28 00:35:16 UTC 2011,Sun Oct 09 03:09:38 UTC 2011
Secretariat General (SG),DG SG,eu/dg_sg,,,,,http://www.ec.europa.eu,European Union,EU,Ask the EU (AccessInfo),,,,,ec_dg,Wed Sep 28 00:35:18 UTC 2011,Sun Oct 09 03:10:58 UTC 2011
Translation (DGT),DGT,eu/dgt,,,,,http://www.ec.europa.eu,European Union,EU,Ask the EU (AccessInfo),,,,,ec_dg,Wed Sep 28 00:35:18 UTC 2011,Sun Oct 09 03:10:59 UTC 2011
Taxation and Customs Union (TAXUD),DG TAXUD,eu/dg_taxud,,,,,http://www.ec.europa.eu,European Union,EU,Ask the EU (AccessInfo),,,,,ec_dg,Wed Sep 28 00:35:18 UTC 2011,Sun Oct 09 03:10:59 UTC 2011
Trade (TRADE),DG TRADE,eu/dg_trade,,,,,http://www.ec.europa.eu,European Union,EU,Ask the EU (AccessInfo),,,,,ec_dg,Wed Sep 28 00:35:18 UTC 2011,Sun Oct 09 03:10:59 UTC 2011
Agriculture and Rural Development (AGRI),DG AGRI,eu/dg_agri,,,,,http://www.ec.europa.eu,European Union,EU,Ask the EU (AccessInfo),,,,,ec_dg,Wed Sep 28 00:35:10 UTC 2011,Sun Oct 09 03:04:54 UTC 2011
Humanitarian Aid and Civil Protection (ECHO),DG ECHO,eu/dg_echo,,,,,http://www.ec.europa.eu,European Union,EU,Ask the EU (AccessInfo),,,,,ec_dg,Wed Sep 28 00:35:14 UTC 2011,Sun Oct 09 03:08:44 UTC 2011
Regional Policy (REGIO),DG REGIO,eu/dg_regio,,,,,http://www.ec.europa.eu,European Union,EU,Ask the EU (AccessInfo),,,,,ec_dg,Wed Sep 28 00:35:17 UTC 2011,Sun Oct 09 03:09:39 UTC 2011
Enlargement (ELARG),DG ELARG,eu/dg_elarg,,,,,http://www.ec.europa.eu,European Union,EU,Ask the EU (AccessInfo),,,,,ec_dg,Wed Sep 28 00:35:12 UTC 2011,Sun Oct 09 03:08:42 UTC 2011
Development & Cooperation - EuropeAid (DEVCO),DG DEVCO,eu/dg_devco,,,,,http://www.ec.europa.eu,European Union,EU,Ask the EU (AccessInfo),,,,,ec_dg,Wed Sep 28 00:35:13 UTC 2011,Sun Oct 09 03:08:43 UTC 2011
European Commission Data Protection Officer,,eu/european_commission_data_protection_officer,,,,,,European Union,EU,Ask the EU (AccessInfo),,,,,ec_service,Wed Sep 28 00:35:19 UTC 2011,Sun Oct 09 03:12:52 UTC 2011
"Education, Audiovisual and Culture Executive Agency (EACEA)",EACEA,eu/eacea,,,,,http://eacea.ec.europa.eu/index_en.php,European Union,EU,Ask the EU (AccessInfo),,,,,executive_agency,Wed Sep 28 00:35:32 UTC 2011,Sun Oct 09 03:23:40 UTC 2011
Executive Agency for Competitiveness and Innovation (EACI),EACI,eu/eaci,,,,,,European Union,EU,Ask the EU (AccessInfo),,,,,executive_agency,Wed Sep 28 00:35:32 UTC 2011,Sun Oct 09 03:23:40 UTC 2011
Executive Agency for Health and Consumers (EAHC),EAHC,eu/eahc,,,,,,European Union,EU,Ask the EU (AccessInfo),,,,,executive_agency,Wed Sep 28 00:35:32 UTC 2011,Sun Oct 09 03:23:41 UTC 2011
European Aviation Safety Agency,EASA,eu/easa,,,,,http://www.easa.europa.eu,European Union,EU,Ask the EU (AccessInfo),,,,,policy_agency,Wed Sep 28 00:35:25 UTC 2011,Sun Oct 09 03:23:08 UTC 2011
European Asylum Support Office (at planning stage),EASO,eu/easo,,,,,http://www.ec.europa.eu,European Union,EU,Ask the EU (AccessInfo),,,,,policy_agency,Wed Sep 28 00:35:25 UTC 2011,Sun Oct 09 03:23:07 UTC 2011
